sku,product_description,category,application_type,r_value,thickness_mm,insulation_width,material_density,bale_size_sqm,retail_price,pack_price,created_at
PIL-029,Premier Polyester HD Thermal Insulation (Wall) R2.5 90mm,Thermal,Wall,R2.5 90mm,90mm,360mm/560mm,HD Thermal Insulation (Section 1),3.01,17.8,53.6,
PIL-030,Premier Polyester HD Thermal Insulation (Wall) R2.5 90mm,Thermal,Wall,R2.5 90mm,90mm,360mm/560mm,HD Thermal Insulation (Section 2),3.4,17.8,60.5,
PIL-031,Premier Polyester HD Thermal Insulation (Wall) R2.6 140mm,Thermal,Wall,R2.6 140mm,140mm,360mm/560mm,HD Thermal Insulation (Section 1),2.46,9.95,24.5,
PIL-032,Premier Polyester HD Thermal Insulation (Wall) R2.6 140mm,Thermal,Wall,R2.6 140mm,140mm,360mm/560mm,HD Thermal Insulation (Section 2),3.4,9.95,33.85,
PIL-033,Premier Polyester HD Thermal Insulation (Wall) R2.8 140mm,Thermal,Wall,R2.8 140mm,140mm,360mm/560mm,HD Thermal Insulation (Section 1),2.46,11.95,29.4,
PIL-034,Premier Polyester HD Thermal Insulation (Wall) R2.8 140mm,Thermal,Wall,R2.8 140mm,140mm,360mm/560mm,HD Thermal Insulation (Section 2),3.4,11.95,40.65,
PIL-035,Premier Polyester HD Thermal Insulation (Wall) R3.2 140mm,Thermal,Wall,R3.2 140mm,140mm,360mm/560mm,HD Thermal Insulation (Section 1),2.46,15.95,39.25,
PIL-036,Premier Polyester HD Thermal Insulation (Wall) R3.2 140mm,Thermal,Wall,R3.2 140mm,140mm,360mm/560mm,HD Thermal Insulation (Section 2),3.4,15.95,54.25,
PIL-037,Premier Polyester HD Thermal Insulation (Wall) R3.4 140mm,Thermal,Wall,R3.4 140mm,140mm,360mm/560mm,HD Thermal Insulation (Section 1),2.46,18.95,46.6,
PIL-038,Premier Polyester HD Thermal Insulation (Wall) R3.4 140mm,Thermal,Wall,R3.4 140mm,140mm,360mm/560mm,HD Thermal Insulation (Section 2),3.4,18.95,64.45,
PIL-039,Premier Polyester HD Thermal Insulation (Wall) R3.6 140mm,Thermal,Wall,R3.6 140mm,140mm,360mm/560mm,HD Thermal Insulation (Section 1),2.46,20.95,51.55,
PIL-040,Premier Polyester HD Thermal Insulation (Wall) R3.6 140mm,Thermal,Wall,R3.6 140mm,140mm,360mm/560mm,HD Thermal Insulation (Section 2),3.4,20.95,71.25,
PIL-041,Premier Polyester Thermal Ceiling Blanket R1.8 115mm,Thermal,Ceiling,R1.8 115mm,115mm,870mm,Ceiling Blanket,20,6.25,125,
PIL-042,Premier Polyester Thermal Ceiling Blanket R2.4 145mm,Thermal,Ceiling,R2.4 145mm,145mm,870mm,Ceiling Blanket,15,8.25,123.75,
PIL-043,Premier Polyester Thermal Ceiling Blanket R2.9 185mm,Thermal,Ceiling,R2.9 185mm,185mm,870mm,Ceiling Blanket,15,8.83,132.45,
PIL-044,Premier Polyester Thermal Ceiling Blanket R3.3 200mm,Thermal,Ceiling,R3.3 200mm,200mm,870mm,Ceiling Blanket,15,10.09,151.35,
PIL-045,Premier Polyester Thermal Ceiling Blanket R3.6 225mm,Thermal,Ceiling,R3.6 225mm,225mm,870mm,Ceiling Blanket (13.00 m² pack),13,11.99,155.9,
PIL-046,Premier Polyester Thermal Ceiling Blanket R3.8 225mm,Thermal,Ceiling,R3.8 225mm,225mm,870mm,Ceiling Blanket (12.00 m² pack),12,12.49,149.9,
PIL-047,Premier Polyester HD Mid-Floor / Skillion Roof Blanket R2.9 115mm,Thermal,HD Mid-Floor / Skillion Roof,R2.9 115mm,115mm,870mm,Mid-Floor Skillion Sections,5.22,16.9,88.2,
PIL-048,Premier Polyester HD Mid-Floor / Skillion Roof Blanket R3.2 140mm,Thermal,HD Mid-Floor / Skillion Roof,R3.2 140mm,140mm,870mm,Mid-Floor Skillion Sections,4.18,15.95,66.65,
PIL-049,Premier Polyester HD Mid-Floor / Skillion Roof Blanket R3.4 140mm,Thermal,HD Mid-Floor / Skillion Roof,R3.4 140mm,140mm,870mm,Mid-Floor Skillion Sections,4.18,18.95,79.2,
PIL-050,Premier Polyester HD Mid-Floor / Skillion Roof Blanket R3.6 140mm,Thermal,HD Mid-Floor / Skillion Roof,R3.6 140mm,140mm,870mm,Mid-Floor Skillion Sections,4.18,20.95,87.6,
PIL-051,Premier Polyester HD Mid-Floor / Skillion Roof Blanket R3.2 165mm,Thermal,HD Mid-Floor / Skillion Roof,R3.2 165mm,165mm,870mm,Mid-Floor Skillion Sections,4.18,14.95,62.5,
PIL-052,Premier Polyester HD Mid-Floor / Skillion Roof Blanket R3.6 165mm,Thermal,HD Mid-Floor / Skillion Roof,R3.6 165mm,165mm,870mm,Mid-Floor Skillion Sections,4.18,16.95,70.85,
PIL-053,Premier Polyester HD Mid-Floor / Skillion Roof Blanket R3.8 165mm,Thermal,HD Mid-Floor / Skillion Roof,R3.8 165mm,165mm,870mm,Mid-Floor Skillion Sections,4.18,22.95,95.95,
